Category In English,User_Id,Mer_Name,Cluster
Grocery,1852,Saraswati Fabrics,1
Grocery,1857,Saraswati Fabrics,1
Grocery,1862,Saraswati Fabrics,1
Grocery,1865,Saraswati Fabrics,1
Grocery,1873,Saraswati Fabrics,1
Grocery,1878,Saraswati Fabrics,1
Grocery,1898,Saraswati Fabrics,1
Grocery,1898,Saraswati Fabrics,1
Grocery,1901,Saraswati Fabrics,1
Grocery,1912,Saraswati Fabrics,1
Grocery,1913,Saraswati Fabrics,1
Grocery,1917,Saraswati Fabrics,1
Grocery,1924,Saraswati Fabrics,1
Grocery,1933,Saraswati Fabrics,1
Grocery,1935,Saraswati Fabrics,1
Grocery,1946,Saraswati Fabrics,1
Grocery,1952,Saraswati Fabrics,1
Grocery,1960,Saraswati Fabrics,1
Grocery,1963,Saraswati Fabrics,1
Grocery,1964,Saraswati Fabrics,1
Grocery,1966,Saraswati Fabrics,1
Grocery,1971,Saraswati Fabrics,1
Grocery,1974,Saraswati Fabrics,1
Grocery,1976,Saraswati Fabrics,1
Grocery,1976,Saraswati Fabrics,1
Grocery,1981,Saraswati Fabrics,1
Grocery,1985,Saraswati Fabrics,1
Grocery,1989,Saraswati Fabrics,1
Grocery,1995,Saraswati Fabrics,1
Grocery,2000,Saraswati Fabrics,1
Grocery,2002,Saraswati Fabrics,1
Grocery,2013,Saraswati Fabrics,1
Grocery,2015,Saraswati Fabrics,1
Grocery,2017,Saraswati Fabrics,5
Grocery,2024,Saraswati Fabrics,1
Grocery,2029,Saraswati Fabrics,1
Grocery,2032,Saraswati Fabrics,1
Grocery,2036,Saraswati Fabrics,1
Grocery,2037,Saraswati Fabrics,1
Grocery,2038,Saraswati Fabrics,1
Grocery,2041,Saraswati Fabrics,1
Grocery,2047,Saraswati Fabrics,1
Grocery,2055,Saraswati Fabrics,1
Grocery,2056,Saraswati Fabrics,1
Grocery,2057,Saraswati Fabrics,1
Grocery,2058,Saraswati Fabrics,1
Grocery,2089,Saraswati Fabrics,1
Grocery,2091,Saraswati Fabrics,1
Grocery,2107,Saraswati Fabrics,1
Grocery,2108,Saraswati Fabrics,1
Grocery,2111,Saraswati Fabrics,1
Grocery,2121,Saraswati Fabrics,1
Grocery,2123,Saraswati Fabrics,5
Grocery,2137,Saraswati Fabrics,1
Grocery,2143,Saraswati Fabrics,1
Grocery,2157,Saraswati Fabrics,1
Grocery,2160,Saraswati Fabrics,1
Grocery,2163,Saraswati Fabrics,1
Grocery,2165,Saraswati Fabrics,1
Grocery,2169,Saraswati Fabrics,1
Grocery,2171,Saraswati Fabrics,1
Grocery,2179,Saraswati Fabrics,1
Grocery,2182,Saraswati Fabrics,1
Grocery,2186,Saraswati Fabrics,1
Grocery,2195,Saraswati Fabrics,1
Grocery,2196,Saraswati Fabrics,1
Grocery,2201,Saraswati Fabrics,1
Grocery,2211,Saraswati Fabrics,1
Grocery,2214,Saraswati Fabrics,1
Grocery,2215,Saraswati Fabrics,1
Grocery,2217,Saraswati Fabrics,1
Grocery,2220,Saraswati Fabrics,1
Grocery,2227,Saraswati Fabrics,1
Grocery,2230,Saraswati Fabrics,1
Grocery,2232,Saraswati Fabrics,1
Grocery,2239,Saraswati Fabrics,1
Grocery,2241,Saraswati Fabrics,1
Grocery,2244,Saraswati Fabrics,1
Grocery,2245,Saraswati Fabrics,1
Grocery,2254,Saraswati Fabrics,1
Grocery,2256,Saraswati Fabrics,1
Grocery,2260,Saraswati Fabrics,1
Grocery,2266,Saraswati Fabrics,1
Grocery,2270,Saraswati Fabrics,1
Grocery,2272,Saraswati Fabrics,1
Grocery,2275,Saraswati Fabrics,1
Grocery,2294,Saraswati Fabrics,1
Grocery,2298,Saraswati Fabrics,5
Grocery,2299,Saraswati Fabrics,1
Grocery,2310,Saraswati Fabrics,1
Grocery,2318,Saraswati Fabrics,1
Grocery,2326,Saraswati Fabrics,1
Grocery,2328,Saraswati Fabrics,1
Grocery,2331,Saraswati Fabrics,1
Grocery,2332,Saraswati Fabrics,1
Grocery,2334,Saraswati Fabrics,1
Grocery,2344,Saraswati Fabrics,1
Grocery,2358,Saraswati Fabrics,1
Grocery,2362,Saraswati Fabrics,1
Grocery,2364,Saraswati Fabrics,1
Grocery,2368,Saraswati Fabrics,1
Grocery,2371,Saraswati Fabrics,1
Grocery,2374,Saraswati Fabrics,1
Grocery,2374,Saraswati Fabrics,1
Grocery,2379,Saraswati Fabrics,1
Grocery,2385,Saraswati Fabrics,1
Grocery,2386,Saraswati Fabrics,1
Grocery,2393,Saraswati Fabrics,1
Grocery,2397,Saraswati Fabrics,1
Grocery,2406,Saraswati Fabrics,1
Grocery,2410,Saraswati Fabrics,1
Grocery,2444,Saraswati Fabrics,1
Grocery,2448,Saraswati Fabrics,1
Grocery,2449,Saraswati Fabrics,1
Grocery,2452,Saraswati Fabrics,1
Grocery,2461,Saraswati Fabrics,1
Grocery,2467,Saraswati Fabrics,1
Grocery,2477,Saraswati Fabrics,1
Grocery,2482,Saraswati Fabrics,1
Grocery,2487,Saraswati Fabrics,1
Grocery,2490,Saraswati Fabrics,1
Grocery,2494,Saraswati Fabrics,1
Grocery,2508,Saraswati Fabrics,1
Grocery,2512,Saraswati Fabrics,1
Grocery,2516,Saraswati Fabrics,1
Grocery,2516,Saraswati Fabrics,1
Grocery,2517,Saraswati Fabrics,1
Grocery,2521,Saraswati Fabrics,1
Grocery,2524,Saraswati Fabrics,1
Grocery,2526,Saraswati Fabrics,1
Grocery,2530,Saraswati Fabrics,1
Grocery,2532,Saraswati Fabrics,1
Grocery,2540,Saraswati Fabrics,1
Grocery,2563,Saraswati Fabrics,1
Grocery,2563,Saraswati Fabrics,1
Grocery,2566,Saraswati Fabrics,1
Grocery,2569,Saraswati Fabrics,1
Grocery,2577,Saraswati Fabrics,1
Grocery,2588,Saraswati Fabrics,1
Grocery,2591,Saraswati Fabrics,1
Grocery,2599,Saraswati Fabrics,1
Grocery,2604,Saraswati Fabrics,1
Grocery,2605,Saraswati Fabrics,1
Grocery,2607,Saraswati Fabrics,1
Grocery,2622,Saraswati Fabrics,1
Grocery,2623,Saraswati Fabrics,1
Grocery,2626,Saraswati Fabrics,1
Grocery,2629,Saraswati Fabrics,1
Grocery,2632,Saraswati Fabrics,1
Grocery,2635,Saraswati Fabrics,1
Grocery,2639,Saraswati Fabrics,1
Grocery,2642,Saraswati Fabrics,1
Grocery,2646,Saraswati Fabrics,1
Grocery,2650,Saraswati Fabrics,1
Grocery,2668,Saraswati Fabrics,1
Grocery,2686,Saraswati Fabrics,1
Grocery,2695,Saraswati Fabrics,1
Grocery,2711,Saraswati Fabrics,1
Grocery,2712,Saraswati Fabrics,1
Grocery,2716,Saraswati Fabrics,1
Grocery,2721,Saraswati Fabrics,1
Grocery,2721,Saraswati Fabrics,1
Grocery,2725,Saraswati Fabrics,1
